Date,Open,High,Low,Close,Volume
2022-12-09,16518.009161294034,16848.321412796904,16384.73316192946,16533.8671875,71665.0
2022-12-12,16533.87124128777,16635.9990198451,16336.503105753129,16408.5703125,12681.0
2022-12-13,16408.521500631905,16664.974703149404,16345.375130523124,16591.3515625,16680.0
2022-12-14,16591.63552505793,16674.69753018963,16427.11538430057,16599.89453125,35770.0
2022-12-15,16654.87510913197,16772.247011314455,16578.562264316854,16673.044921875,22428.0
2022-12-16,16593.522272637936,16627.40816179791,16283.643642046563,16489.8828125,31397.0
2022-12-19,16423.622274640253,16590.690156399527,16296.19761906115,16546.185546875,19232.0
2022-12-20,16456.66001484274,16697.35105606929,16404.794192585785,16613.533203125,25213.0
2022-12-21,16668.08768892426,16893.34651660043,16353.159665345273,16433.248046875,30969.0
2022-12-22,16443.11350630923,16541.559742872094,16179.155329546486,16276.1396484375,24046.0
2022-12-23,16244.282801227506,16244.282801227506,15762.900800726284,15903.9638671875,30648.0
2022-12-26,15857.339016929454,16360.382522604956,15685.125841854597,16311.4423828125,33905.0
2022-12-27,16375.437152024617,16392.99491381223,15862.860750807718,16255.1875,17196.0
2022-12-28,16255.13861448746,16484.88091849291,16102.748902210253,16319.0869140625,22164.0
2022-12-29,16211.246480853442,16333.667791102664,16020.533525016892,16128.232421875,27430.0
2022-12-30,16208.84177946512,16374.541779581345,16150.084849226536,16295.443359375,9551.0
2023-01-02,16364.959184968951,16374.53999989307,16131.017327540498,16206.1982421875,9526.0
2023-01-03,16253.67378322896,16282.038303307616,16135.73593014746,16172.3115234375,6877.0
2023-01-04,16172.262427279526,16172.262427279526,15857.28833624976,15911.4677734375,24307.0
2023-01-05,15998.873981760406,16088.355147105018,15811.040594009944,16052.3916015625,14393.0
2023-01-06,16140.457094926567,16233.901846528775,16015.392149600384,16108.0810546875,21331.0
2023-01-09,16188.35925068836,16281.94595350215,16131.773999902063,16254.951171875,8080.0
2023-01-10,16234.845267769915,16516.12340089756,16234.845267769915,16429.001953125,15811.0
2023-01-11,16470.815917514417,16541.559458213145,16282.038657714826,16377.3232421875,8578.0
