Date,Open,High,Low,Close,Volume
2024-10-28,2496.637051214524,2620.8696133580734,2296.906087117362,2335.753662109375,21535158.0
2024-10-29,2371.90505380943,2493.6409733663927,2348.886012481473,2376.998046875,7937427.0
2024-10-30,2387.883671694184,2446.7043439064782,2366.9616578669256,2438.365478515625,2849157.0
2024-10-31,2449.7003577308924,2754.989097944532,2438.4155091142457,2718.4384765625,12359372.0
2024-11-01,2776.2604087735526,2906.085535802532,2772.8150983956107,2886.21240234375,5382498.0
2024-11-04,2905.736084696617,3011.943129098025,2708.352044467455,2986.577392578125,12683686.0
2024-11-05,2975.991590094585,3563.9996416247127,2927.3571454215926,3468.02880859375,14195138.0
2024-11-06,3430.379571325971,3737.9652796137134,3420.39302235559,3631.70849609375,9495315.0
2024-11-07,3569.1924786035647,3614.9309200688754,3295.561046276375,3344.1455078125,5831790.0
2024-11-08,3300.5042602608346,3409.40761917895,3052.638178068323,3129.484619140625,4885739.0
2024-11-11,3066.86901208759,3117.800408901809,2816.556274093182,2819.0029296875,4711657.0
2024-11-12,2817.205556878811,3009.94595832426,2758.5345797548725,2866.1396484375,3934523.0
2024-11-13,2901.1922082191736,2966.004808358417,2780.255012279405,2871.881591796875,2124099.0
2024-11-14,2896.099155848911,2964.007687779161,2868.136819171749,2913.525634765625,1428158.0
2024-11-18,2946.031990657209,3181.714549909785,2889.408305904312,3110.2607421875,3696718.0
2024-11-19,2946.031844121539,3039.9054011884627,2876.126003752553,2897.896728515625,3339933.0
2024-11-21,2879.1217945468848,2911.078748215112,2686.3814177353865,2717.7890625,2282806.0
2024-11-22,2734.3172099018284,2801.227090494751,2668.4059842431284,2701.561279296875,1588761.0
2024-11-25,2786.197201322504,2786.197201322504,2561.5498293761166,2593.107421875,3059199.0
2024-11-26,2608.5363899124773,2618.7726018903445,2508.62092569778,2522.452392578125,2558847.0
2024-11-27,2540.777622961265,2674.3976907774904,2531.0907196697344,2604.2421875,2887896.0
2024-11-28,2640.2936772342923,2682.736507628471,2601.84546617133,2630.30712890625,1988167.0
2024-11-29,2638.046892869753,2688.379002524365,2581.522927758352,2664.16162109375,1299617.0
2024-12-02,2691.3748988909656,2793.2376965484345,2671.451782817465,2736.614013671875,2898505.0
2024-12-03,2751.294230941402,2761.380742888257,2686.381662879264,2693.322265625,1257966.0
2024-12-04,2698.3654829637435,2760.5817306857152,2691.374898810988,2718.48828125,1211550.0
2024-12-05,2728.674692171585,2945.0331691083165,2711.3479329023667,2835.53076171875,4528208.0
2024-12-06,2884.914254868559,2970.9982564267825,2848.1637066652715,2899.195068359375,3709349.0
2024-12-09,2914.4742344818706,2987.975329414824,2898.0963923669183,2967.30322265625,2843345.0
2024-12-10,3015.937667792409,3180.7157191784186,3015.937667792409,3130.433349609375,5205256.0
2024-12-11,3138.772133977659,3226.653759109709,3130.4332686135385,3170.429443359375,2544371.0
2024-12-12,3230.648541244471,3440.8154122671567,3205.7321507166384,3287.821533203125,8948458.0
2024-12-13,3265.601382162014,3275.4879677207355,3157.746657613544,3212.72265625,3292067.0
2024-12-16,3220.6620982684067,3253.168364487796,3106.9651387627814,3128.935546875,2066749.0
2024-12-17,3128.885530698534,3241.134235538309,3076.8555167750824,3096.82861328125,3220058.0
2024-12-18,3106.8153476954567,3140.7696137904886,3013.541078947524,3038.057861328125,2029095.0
2024-12-19,2946.031957830856,3103.8194321824744,2937.0940452297136,3035.01220703125,2375391.0
2024-12-20,3069.4157813691386,3081.799004461879,2861.146255606115,2875.47705078125,2106023.0
2024-12-23,2918.06947665597,2964.00759983399,2826.642576220749,2928.50537109375,2082511.0
2024-12-24,2954.7202510283223,3025.9243952972697,2854.904740942597,2864.84130859375,1921221.0
2024-12-26,2883.2164665570112,2896.0990163808538,2807.2187362229583,2819.352294921875,1091798.0
2024-12-27,2823.1973505701662,2846.1664128493007,2777.5588712388526,2786.646484375,784366.0
