Date,Open,High,Low,Close,Volume
2021-09-23,1452.4498902039536,1482.6248181554777,1452.4498902039536,1459.4981689453125,680992.0
2021-09-24,1465.5556873612986,1470.2395125573528,1436.0112377972491,1444.883544921875,652676.0
2021-09-27,1454.7015865460978,1458.304562611847,1418.6718258886092,1426.7559814453125,651624.0
2021-09-28,1426.756075123993,1431.0120688902805,1369.130994879666,1384.601318359375,880566.0
2021-09-29,1310.5826638510848,1322.6526567667215,1295.1123399714031,1308.3983154296875,14676574.0
2021-09-30,1314.635973632209,1321.3915541750262,1308.3982769493637,1309.9521484375,1150352.0
2021-10-01,1305.403216778058,1327.9893281600268,1297.5667881111078,1320.603271484375,1056834.0
2021-10-04,1319.5900233022908,1324.0486623345362,1307.0246878811574,1309.9295654296875,2150638.0
2021-10-05,1309.9295206394456,1317.067850965339,1306.1013585867,1308.66845703125,1510840.0
2021-10-06,1310.5826956465116,1317.3157359580648,1299.3684753252037,1303.6019287109375,978346.0
2021-10-07,1308.4210172507803,1315.3117324470295,1308.33096482062,1310.06494140625,577550.0
2021-10-08,1312.8345665159288,1315.536798899838,1300.471875350367,1303.26416015625,672946.0
2021-10-11,1309.5468247564354,1315.5142545873675,1303.3767494881065,1312.4742431640625,568470.0
2021-10-12,1311.4833123335252,1315.0412072830077,1304.119685880505,1309.1639404296875,456558.0
2021-10-13,1310.582648809709,1315.0863692523542,1305.3358584756727,1306.259033203125,396112.0
2021-10-14,1314.18562185747,1335.1279218630807,1307.0022097603462,1328.6650390625,1308386.0
2021-10-18,1341.6584461401603,1341.6584461401603,1319.6352950844632,1320.693603515625,615494.0
2021-10-19,1321.8868888683496,1329.813370022054,1306.0787878339604,1308.1729736328125,658074.0
2021-10-20,1306.0788419032897,1312.2039452814438,1282.727008972446,1288.334228515625,605694.0
2021-10-21,1300.6744673701512,1300.6744673701512,1272.8414529681531,1280.0699462890625,496420.0
2021-10-22,1283.5602369219216,1291.2165611421576,1245.931633248705,1252.6646728515625,1000004.0
2021-10-25,1254.353789359987,1262.1903297414322,1228.164696164531,1246.9451904296875,677834.0
2021-10-26,1228.6149122846152,1247.5305377670031,1206.816949757984,1232.285400390625,1550560.0
2021-10-27,1242.9142699122042,1242.9142699122042,1215.013743294979,1216.5675048828125,963468.0
2021-10-28,1216.5674466517744,1222.287149444841,1180.4250912260252,1184.230712890625,1012330.0
2021-10-29,1186.4826099515924,1202.4482769290018,1171.0123962044895,1192.224853515625,625946.0
2021-11-01,1197.9895629379132,1200.2414230186234,1184.6810478700938,1196.0980224609375,344078.0
2021-11-02,1198.1696997668907,1208.8660354359736,1191.6843865428589,1200.241455078125,475276.0
