Date,Open,High,Low,Close,Volume
2021-09-23,31363.92243575229,31614.02672447545,30782.066304388845,31085.8984375,19836.0
2021-09-24,31085.89723082826,32730.34459632036,30994.769590001728,31562.126953125,56987.0
2021-09-27,31907.76736041692,31907.76736041692,30153.84630617039,30951.693359375,27463.0
2021-09-28,31063.61491209757,31108.33191251036,30209.600121462867,30712.671875,22651.0
2021-09-29,30641.295038950346,30875.81913552646,30040.106627535468,30349.052734375,12605.0
2021-09-30,30387.903731857303,30968.634385650483,29684.280173396524,29754.337890625,26346.0
2021-10-01,29740.355051803923,30771.741931006592,29623.279971566863,30295.04296875,46167.0
2021-10-04,30406.62707673356,31239.009064385697,30268.24928555195,31034.376953125,26275.0
2021-10-05,31063.610579907137,32048.916809845294,30936.916095668843,31787.55078125,35785.0
2021-10-06,31787.181129687106,32640.257438236767,31463.21933073719,31804.54296875,39341.0
2021-10-07,31938.27431333352,34984.99462635493,31918.661595021484,34868.0625,103807.0
2021-10-08,34981.76091005182,35054.962180366616,34207.7513242553,34456.96484375,34933.0
2021-10-11,34460.898296605104,35755.997415595164,34372.399123621806,34974.05859375,41176.0
2021-10-12,35164.75108866106,35333.67703464342,34723.666674151566,35100.65234375,26619.0
2021-10-13,35328.99433055485,35990.621133663924,35099.06728550276,35176.9609375,38382.0
2021-10-14,35277.37813815846,35474.45846295264,34723.67627326053,35071.1953125,30544.0
2021-10-18,35371.23100440889,35785.66429915803,34925.501672178325,35233.4140625,23161.0
2021-10-19,35521.190952796314,37754.62471707911,35246.12169601748,36529.6328125,65103.0
2021-10-20,36130.91696847044,36181.69007104456,34930.13492555669,35102.015625,48518.0
2021-10-21,35371.22940759524,36022.15909676091,34536.922616845644,35179.640625,31859.0
2021-10-22,35370.28481477614,36319.27269908368,35006.155479741166,35495.0546875,36255.0
2021-10-25,35755.988796781574,35802.113494435886,34329.40784038472,34462.90625,27093.0
2021-10-26,34437.43091368396,36036.5488725647,34208.44240999302,35083.66796875,33010.0
