Date,Open,High,Low,Close,Volume
2021-09-23,1451.3052546574972,1452.5154969253415,1412.113519064923,1414.9527587890625,804207.0
2021-09-24,1414.999124853906,1424.9599285013944,1392.6570334088442,1401.0819091796875,346181.0
2021-09-27,1401.035401533902,1405.9227343299506,1380.7412884685396,1390.1436767578125,324586.0
2021-09-28,1390.1436592786567,1394.937809050959,1357.7009882159346,1362.3555908203125,475347.0
2021-09-29,1358.213005675958,1382.510007929999,1347.04195970741,1367.9876708984375,544221.0
2021-09-30,1355.4203374874105,1376.5987802606512,1346.4369313417578,1350.1141357421875,543427.0
2021-10-01,1354.4893644114672,1436.363779162541,1352.767184167087,1427.845947265625,3330546.0
2021-10-04,1431.662768530661,1435.8983889450526,1409.7395436336776,1415.79052734375,668680.0
2021-10-05,1416.861096343894,1431.4765037222962,1410.6704518747597,1415.93017578125,575832.0
2021-10-06,1429.8473429061814,1434.3623983878613,1391.7261926495796,1397.40478515625,537571.0
2021-10-07,1414.9992096451117,1480.0239861239486,1400.1510726042688,1437.8067626953125,1649561.0
2021-10-08,1440.133992418491,1452.189367261915,1410.530675496739,1414.67333984375,541904.0
2021-10-11,1429.9406012640218,1450.7931313297663,1407.458846546764,1427.7994384765625,644793.0
2021-10-12,1426.7288285472384,1447.8607934569864,1422.260478038706,1434.548583984375,478933.0
2021-10-13,1439.7153217396217,1468.759999455492,1428.9631431875646,1458.7991943359375,976346.0
2021-10-14,1477.3709811674737,1478.3019017605218,1434.8279555202785,1445.3472900390625,551085.0
2021-10-18,1459.7763950641254,1470.8543716031174,1438.3187459901633,1451.4447021484375,522124.0
2021-10-19,1452.1893923530856,1479.6050693331058,1428.96297127188,1445.1610107421875,729901.0
2021-10-20,1440.1341423956464,1458.007772140279,1409.367171661822,1427.333984375,671846.0
2021-10-21,1441.0650231849902,1441.9028744143948,1408.017343389727,1425.704833984375,608376.0
2021-10-22,1433.6175183851817,1500.643791972021,1426.1701546533104,1457.8680419921875,2997151.0
2021-10-25,1468.9926133990648,1468.9926133990648,1402.5714555397835,1415.4180908203125,718804.0
2021-10-26,1421.2828455975427,1435.4793829450864,1400.1044046364527,1423.65673828125,902649.0
2021-10-27,1425.7512977175734,1440.2270429087462,1413.1372798370492,1415.2784423828125,441419.0
2021-10-28,1421.515626647095,1421.9810869046742,1374.0386803740091,1379.85693359375,693140.0
2021-10-29,1384.278863235341,1392.4710095623166,1350.6726539771537,1366.358642578125,687082.0
2021-11-01,1380.5551291082086,1393.122556109531,1356.5839257538348,1389.491943359375,441123.0
2021-11-02,1386.1408195155332,1405.6901527659202,1379.4382364276523,1388.281982421875,632883.0
2021-11-03,1390.050512113974,1449.1639667119089,1388.0956016973423,1414.161376953125,1827204.0
2021-11-04,1460.614320831996,1466.199844047415,1414.06829403684,1424.4014892578125,538803.0
2021-11-08,1442.926803790403,1566.832302085111,1426.1702344560629,1544.76953125,7164107.0
2021-11-09,1544.397261617642,1557.2440112381037,1504.7400671391006,1516.5162353515625,1287977.0
2021-11-10,1512.7459604249634,1566.646285373197,1505.903716808441,1556.45263671875,1471628.0
2021-11-11,1563.9465355974544,1588.8952519775669,1534.622538055002,1569.950927734375,2120492.0
2021-11-12,1582.3786753301283,1591.5482193188202,1562.0845634370485,1574.5123291015625,1069334.0
2021-11-15,1576.560492871864,1602.9985447425822,1538.4392293765718,1594.480712890625,1280389.0
