Date,Open,High,Low,Close,Volume
2021-09-23,1571.7591574230985,1578.557512671932,1513.9977396753636,1520.45849609375,1539115.0
2021-09-24,1526.4850747192745,1547.554980982644,1521.6635804845323,1530.4869384765625,976417.0
2021-09-27,1533.4762366935763,1539.0209550466582,1496.35073119903,1511.29736328125,856495.0
2021-09-28,1510.0921315448384,1513.9010652515017,1490.8061528533335,1506.6688232421875,509543.0
2021-09-29,1485.0685034728765,1547.747929248155,1485.0685034728765,1543.263916015625,779976.0
2021-09-30,1542.058436571558,1565.5873506357923,1526.4849875403036,1532.7529296875,733253.0
2021-10-01,1532.270950344216,1569.8786074011225,1505.5599179297303,1526.05126953125,953316.0
2021-10-04,1535.1640563064848,1549.5802797252031,1511.9726175418157,1520.45849609375,387636.0
2021-10-05,1487.1899871127418,1531.3066620424925,1486.5150249637516,1493.40966796875,3686947.0
2021-10-06,1503.3418514864368,1505.2221870894098,1489.3595186791545,1498.0382080078125,1113928.0
2021-10-07,1505.9455733220343,1510.9599983235505,1481.1631382116052,1493.26513671875,576382.0
2021-10-08,1495.627661767705,1498.520558598977,1466.2165439831049,1474.798828125,1293018.0
2021-10-11,1478.077555712891,1488.347245902988,1463.179065521129,1481.7418212890625,731875.0
2021-10-12,1481.1629601894451,1491.384503950385,1465.830585691908,1478.2218017578125,635193.0
2021-10-13,1478.8005931756331,1487.0452779648406,1459.852096658264,1466.07177734375,847206.0
2021-10-14,1469.591584893007,1474.4130795940994,1459.9485954908218,1465.9754638671875,423838.0
2021-10-18,1484.7310330564287,1485.020369823771,1463.805793112003,1465.2039794921875,516940.0
2021-10-19,1470.941691524925,1489.4561849049826,1461.3468460211811,1474.60595703125,674830.0
2021-10-20,1477.3059101942583,1480.1988068852393,1443.16970569823,1450.6912841796875,844842.0
2021-10-21,1463.8057826816012,1472.195136327476,1431.983917840697,1451.6556396484375,553982.0
2021-10-22,1458.7432823095633,1476.0524019193847,1438.203666946223,1446.9788818359375,941101.0
2021-10-25,1454.5483722599856,1454.5483722599856,1422.871179377503,1443.507080078125,373740.0
2021-10-26,1443.50728610012,1464.6737189729922,1440.084095407597,1451.9931640625,398883.0
2021-10-27,1451.269857883766,1471.4718729401638,1441.578606764485,1446.8341064453125,874605.0
2021-10-28,1448.3287683462436,1465.7344115685296,1408.1175490085168,1419.2552490234375,449386.0
2021-10-29,1423.3160958132655,1447.440869653405,1387.6848706897665,1432.55029296875,358571.0
2021-11-01,1439.7538362772298,1471.565747871428,1429.166036272693,1467.552978515625,517466.0
2021-11-02,1477.4640697403124,1483.4106928422775,1453.5326327468094,1458.5123291015625,714887.0
2021-11-03,1464.700760689136,1481.2834608468684,1459.0925380480285,1477.7542724609375,388656.0
2021-11-04,1478.4310521348389,1487.1333931873005,1473.8865434651086,1478.0926513671875,31674.0
2021-11-08,1483.265602979361,1487.084916347477,1455.2731213749448,1460.8812255859375,773438.0
2021-11-09,1461.0264944916266,1469.728836285422,1455.273326852288,1458.9959716796875,332602.0
2021-11-10,1454.2094084925768,1493.901797975634,1450.3900951219748,1476.8839111328125,1104358.0
2021-11-11,1476.497198001473,1483.2656854841257,1451.453770709048,1457.9322509765625,554680.0
2021-11-12,1468.7617566582778,1474.1765229379653,1453.290928411713,1460.3011474609375,286747.0
2021-11-15,1466.827858342354,1491.0010267395585,1452.9040897389548,1485.7313232421875,446822.0
2021-11-16,1492.6931476593018,1497.0443179682682,1465.1357357025147,1469.7286376953125,265077.0
2021-11-17,1461.703029262037,1480.3647615820696,1460.8328896679466,1478.430908203125,566753.0
2021-11-18,1478.430895820229,1484.9576509195006,1441.2042185873454,1462.33154296875,598304.0
2021-11-22,1461.9931635281432,1469.6319080288474,1408.8121952781114,1413.9852294921875,774628.0
2021-11-23,1401.947027339106,1424.3796792683083,1372.068969098844,1410.2625732421875,583697.0
2021-11-24,1411.7130281977577,1471.6624855595803,1411.7130281977577,1438.6903076171875,1355957.0
2021-11-25,1444.588440330636,1459.1890093940362,1422.2040643855712,1443.5731201171875,926456.0
2021-11-26,1440.7208845325626,1445.5555183732758,1400.2066293407745,1405.5731201171875,870438.0
2021-11-29,1392.3745261024926,1411.1329287413168,1372.069064263498,1386.814697265625,552009.0
2021-11-30,1386.9114753686122,1406.2017364520211,1378.015795743497,1389.812255859375,1428578.0
2021-12-01,1398.176007001692,1401.8503756717607,1386.1378168102272,1392.85791015625,397870.0
2021-12-02,1392.3745324474194,1423.751258552198,1389.4737521714871,1415.2906494140625,515144.0
2021-12-03,1426.7971803819394,1437.2400371662363,1386.5730486036744,1401.4637451171875,1149769.0
2021-12-06,1402.0922628400974,1415.1940502470443,1364.333723836778,1372.4559326171875,542372.0
2021-12-07,1377.87077689156,1392.374679806208,1358.483846115755,1369.5068359375,873771.0
2021-12-08,1386.6213061044991,1402.0437400316284,1373.5194018723644,1397.2091064453125,774617.0
2021-12-09,1397.2089916640475,1403.3489522076595,1380.4328381043083,1390.0537109375,329879.0
2021-12-10,1395.5651618261186,1398.6108860867537,1385.0256386357253,1392.277587890625,343809.0
