Date,Open,High,Low,Close,Volume
2021-09-23,5548.090161542006,5717.853402228329,5494.690215981963,5660.375,280558.0
2021-09-24,5785.365063954511,6093.38652643572,5719.728831462321,5842.890625,1103223.0
2021-09-27,5907.26007454613,5971.395949501382,5560.325752707707,5607.396484375,448074.0
2021-09-28,5649.403873609581,5649.403873609581,5326.708140596611,5411.56640625,458096.0
2021-09-29,5302.469906138926,5550.9032283794495,5284.232227038474,5386.484375,783825.0
2021-09-30,5400.923582202362,5502.988002229561,5358.728866716406,5405.75244140625,282121.0
2021-10-01,5399.04772366072,5438.429454191069,5325.910224104357,5392.29638671875,211279.0
2021-10-04,5438.335578887314,5494.689051340607,5326.191321697712,5380.43505859375,264342.0
2021-10-05,5396.235240467975,5441.289636532665,5299.702925618562,5405.98681640625,310789.0
2021-10-06,5437.4926744295335,5437.4926744295335,5316.534482499647,5334.20947265625,237547.0
2021-10-07,5372.794515963415,5483.438451894249,5354.041306483612,5417.42724609375,299275.0
2021-10-08,5483.438393185745,5625.916083819916,5421.552802564976,5610.5380859375,504760.0
2021-10-11,5586.8150245890965,5586.8150245890965,5260.274793428412,5512.64599609375,359610.0
2021-10-12,5512.692941639234,5578.094751393205,5363.4172300030605,5460.88720703125,262597.0
2021-10-13,5474.061318806911,5623.149319781611,5467.685411335981,5580.34521484375,183586.0
2021-10-14,5682.222850608544,5882.085102374656,5654.093034516422,5718.69775390625,485930.0
2021-10-18,5760.985876275849,5844.578214862066,5493.564929481184,5537.68212890625,703972.0
2021-10-19,6042.283285397818,6623.023313777375,5982.2730230971565,6427.80224609375,3798353.0
2021-10-20,6381.716851819057,6708.960340106576,6094.792761801921,6507.50390625,1863489.0
2021-10-21,6543.932326666499,6611.818852156507,6141.910405895864,6238.5361328125,633550.0
2021-10-22,6244.817998359536,6351.664579531321,6068.584550539313,6135.58056640625,499076.0
2021-10-25,6160.485912350113,6190.278224576108,5887.18795657719,6025.57568359375,386502.0
2021-10-26,6061.806449666616,6211.096146798837,6033.612001063515,6115.046875,363082.0
2021-10-27,6174.582811396591,6286.420764905905,6152.543972294543,6257.80322265625,313943.0
2021-10-28,6291.119069644065,6442.429223544976,6243.799311722991,6286.7490234375,568697.0
2021-10-29,6296.759907492318,6418.794965537966,6212.176565451377,6280.125,280562.0
2021-11-01,6315.555535456212,6423.634238815954,6260.106461558606,6392.76123046875,294832.0
2021-11-02,6413.296019888447,6492.240460930449,6330.733200186564,6346.47509765625,220667.0
2021-11-03,6324.953952142122,6390.740991763214,6244.50570905525,6330.6396484375,203300.0
2021-11-04,6387.9217323771245,6396.285993021184,6343.797240251765,6357.84765625,24255.0
2021-11-08,6377.583277166103,6464.797907655239,6277.962907673086,6416.96142578125,252226.0
2021-11-09,6436.7912660003285,6514.984037283293,6351.456269684511,6428.00390625,228146.0
