id,pattern,entry,exit,market_filter,pyramid,period,start,end,initial_cash,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,closed_trades,win_rate_pct,profit_factor,average_win_pct,average_loss_pct,mean_net_r,mean_holding_sessions,average_exposure_pct,fees_and_fixed_charges
three__intraday_pivot__atr_trail__m1__a1,three,intraday_pivot,atr_trail,True,True,validation,2021-01-01,2023-12-29,100000,99535.9150584755,-0.46408494152450075,-0.1554665476618311,0.46408494152450075,1,0.0,0.0,,-5.505972741114939,-0.9632005807741439,7.0,0.06678461141893866,44.619193180031004
three__intraday_pivot__atr_trail__m1__a1,three,intraday_pivot,atr_trail,True,True,later,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__atr_trail__m1__a1,three,intraday_pivot,atr_trail,True,True,later_stress,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__atr_trail__m1__a1,three,intraday_pivot,atr_trail,True,True,full,2016-01-01,2026-09-23,100000,98530.66968461266,-1.4693303153873405,-0.1378973554091445,1.4693303153873405,5,20.0,0.06680489102843254,1.3740319163099066,-5.615947217127991,-0.6012891676364328,6.2,0.07212044893212526,204.45984970647584
three__intraday_pivot__atr_trail__m1__a1,three,intraday_pivot,atr_trail,True,True,full_stress,2016-01-01,2026-09-23,100000,98430.00129769441,-1.5699987023055861,-0.14741324587187465,1.5699987023055861,5,20.0,0.022081684822640644,0.577714868462175,-6.313151238050227,-0.6444418780232343,6.2,0.06316061115547714,384.2366826163444
three__intraday_pivot__weekly_sma10__m0__a0,three,intraday_pivot,weekly_sma10,False,False,development,2016-01-01,2020-12-31,100000,101509.91412407282,1.5099141240728198,0.3002164619829273,1.1555561347718957,4,25.0,2.5602113997884373,42.34827598948704,-4.5846348109191215,0.8479731513222909,32.75,0.7007119042979789,163.6190633836341
three__intraday_pivot__weekly_sma10__m0__a0,three,intraday_pivot,weekly_sma10,False,False,validation,2021-01-01,2023-12-29,100000,99518.18452896747,-0.48181547103253175,-0.16141576062018714,0.48181547103253175,1,0.0,0.0,,-5.716330379171584,-1.0000000000000022,7.0,0.06678461141893866,44.59255743214714
three__intraday_pivot__weekly_sma10__m0__a0,three,intraday_pivot,weekly_sma10,False,False,later,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__weekly_sma10__m0__a0,three,intraday_pivot,weekly_sma10,False,False,later_stress,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__weekly_sma10__m0__a0,three,intraday_pivot,weekly_sma10,False,False,full,2016-01-01,2026-09-23,100000,100378.12168247958,0.378121682479593,0.03518957214547758,2.358005306369737,5,20.0,1.2569513415588303,31.614787343725677,-4.8648623055575415,0.2059923772160263,31.8,0.4150453140239973,208.43930125214465
three__intraday_pivot__weekly_sma10__m0__a0,three,intraday_pivot,weekly_sma10,False,False,full_stress,2016-01-01,2026-09-23,100000,100115.50679938677,0.11550679938676645,0.01076232277232858,2.137973254135106,5,20.0,1.0779234429154185,30.662248552936717,-5.571275751440251,0.09205530066036019,31.8,0.36442168763386124,389.308414316522
